OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
288,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,288,Caltex Albury North,Operational,Caltex,,79 Union Road,North Albury,New South Wales,5,20110725,,-36.054852,146.948858
289,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,289,Independent Nathalia,Operational,7-Eleven Pty Ltd,,60 Elizabeth Street,Nathalia,Victoria,5,20120713,,-36.0558599999999,145.203303
290,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,290,Caltex Albury,Operational,Caltex,,842-846 David Street,North Albury,New South Wales,5,20110725,,-36.0639419999999,146.925332
291,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,291,Caltex Albury,Operational,Caltex,,672-674 Dean Street,Albury,New South Wales,5,20110725,,-36.0798129999999,146.911116
292,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,292,Safeway Caltex Albury,Operational,Caltex,,519 Young Street,Albury,New South Wales,5,20110725,,-36.0806019999999,146.92354
293,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,293,Caltex Albury,Operational,7-Eleven Pty Ltd,,609 Hovell Street,South Albury,New South Wales,5,20120713,,-36.086858,146.909786
294,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,294,Caltex Numurkah,Operational,Independent Fuel Supplies,,3221 Goulburn Valley Highway,Numurkah,Victoria,5,20110725,,-36.0995349999999,145.431122
295,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,295,Caltex Moama,Operational,Caltex,,73 Meninya Street,Moama,New South Wales,5,20110725,,-36.108145,144.752869
296,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,296,Caltex Wodonga,Operational,Caltex,,157 Melbourne Road,Wodonga,Victoria,5,20110725,,-36.1183789999999,146.872897
297,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,297,Caltex Wodonga,Operational,7-Eleven Pty Ltd,,177 Lawrence Street,Wodonga,Victoria,5,20120713,,-36.124836,146.888816
298,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,298,Caltex Echuca,Operational,Caltex,,456 High Street,Echuca,Victoria,5,20110725,,-36.126909,144.748129
